issue,commit fix,commit blame,file,match
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,fef497d841ff264fe73ced794b49ba6710002df3,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,fef497d841ff264fe73ced794b49ba6710002df3,src/main/java/org/apache/commons/math/ode/nonstiff/GraggBulirschStoerIntegrator.java,1
MATH-604,57e2712f50eec586fc5e46fcf9eba139f82af97a,fef497d841ff264fe73ced794b49ba6710002df3,src/main/java/org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,1
adhoc,a83b792eb0182f7e3b58d321d5a100db6cfa6c1c,3dd6fe18073a9c6aa251e2614cbabfe08440af4e,src/java/org/apache/commons/math/linear/QRDecompositionImpl.java,0
adhoc,4080feff61e8dc1cd4af2361990c33c9f1014147,8f7c59ce888a687a6c9089caf0c5469984a073b4,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/hull/MonotoneChain.java,1
adhoc,4080feff61e8dc1cd4af2361990c33c9f1014147,3c644cf87ec8c0e6313b3a10b6cfd66279b8093f,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/hull/ConvexHull2D.java,1
adhoc,4080feff61e8dc1cd4af2361990c33c9f1014147,e8d0d4c1ddb40c7752fd4ac6a70ee619323deb4d,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/hull/ConvexHull2D.java,1
adhoc,f7c0b403d2585912e40b471cf83ac1d72cdd459b,b2fa57cbfe860f7c31c5979333dde38b64cfc5d4,src/java/org/apache/commons/math/ode/events/EventState.java,1
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/analysis/DerivativeOperatorFactory.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/Compilable.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/Evaluation.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/EvaluationContext.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/Variable.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Add.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Divide.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Equals.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Multiply.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Power.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Sqrt.java,0
adhoc,47f3a2fd9e89dec2b41b764657ba5db7652d2c33,4683ebbf939a0f49f919b2166be963c88f535bf9,src/experimental/org/apache/commons/math/function/simple/Subtract.java,0
adhoc,8f423828e0d9f34896f87d803c559adf2d953f30,03fa7c14316371f43c62dd486036be9145ab98d0,src/main/java/org/apache/commons/math/geometry/partitioning/BSPTree.java,0
adhoc,8f423828e0d9f34896f87d803c559adf2d953f30,6a14866cfcb0503b4f63819f05194e2cb83277a3,src/main/java/org/apache/commons/math/geometry/partitioning/AbstractRegion.java,0
adhoc,d916ecceb2e6350e9d3b41e525bf9174c576347c,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,src/java/org/apache/commons/math/distribution/AbstractContinuousDistribution.java,0
adhoc,f4a4464beea8118386b84bace4b08e6c16443dab,b3a6a6b3b5b269cf6ccab91588c320d925dac9ae,src/java/org/apache/commons/math/analysis/BisectionSolver.java,0
adhoc,3728db280af2069945209b1857693e21486861cc,0f004b25f755c6f334cec6ae27383c88ba34b9c1,src/main/java/org/apache/commons/math/distribution/BetaDistributionImpl.java,0
MATH-1208,d41364faa4f73fc885dcc9e99a838e8fa4c95998,905aaf45670c63aff879ab3b3b03667fc00cda40,src/main/java/org/apache/commons/math3/random/EmpiricalDistribution.java,0
adhoc,bb005b56ca0739c4c212804ba7a483c8164e78f1,64fa01cd788733566b246131160d3e878d9816bc,src/java/org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,1
adhoc,512f698edd6594ca851ae7aeaf5676fd3cd2fb40,faa703e40e172bf32a2bdc07a4350afbae2641d1,src/java/org/apache/commons/math/stat/univariate/moment/GeometricMean.java,0
adhoc,512f698edd6594ca851ae7aeaf5676fd3cd2fb40,41ac4c92030eefc1cfa3e5002426a6bdc7c29637,src/java/org/apache/commons/math/stat/univariate/moment/GeometricMean.java,0
adhoc,253c7d3b9425681d61b781ecd388c9ec198c310b,b251802f43c3da48c98281a5a2ed518393b04751,src/java/org/apache/commons/math/util/OpenIntToFieldHashMap.java,0
adhoc,253c7d3b9425681d61b781ecd388c9ec198c310b,28257de1805aee7970a564677366a44a80ad9859,src/java/org/apache/commons/math/stat/clustering/Clusterable.java,0
adhoc,253c7d3b9425681d61b781ecd388c9ec198c310b,ecaeaadb713204009c13c0df988ad80c34da20a3,src/java/org/apache/commons/math/util/OpenIntToFieldHashMap.java,0
adhoc,253c7d3b9425681d61b781ecd388c9ec198c310b,b41ff57526cadeb5ab8407dd962d61a615181b42,src/java/org/apache/commons/math/stat/clustering/Clusterable.java,0
